File,WC,Nodes,Edges,RE,PE,L1,L2,L3,LCC,LSC,ATD,Density,Diameter,ASP,CC
1170SCN_0_processed,272,128,256,29,34,3,5,13,128,121,4.0,0.026943897637795276,8,3.3940698818897634,0.12161836469601017
1171SCN_0_processed,657,246,603,72,100,4,28,45,246,225,4.902439,0.016558818649410983,7,3.3335988053758103,0.12647954729689972
1172SCN_0_processed,100,57,93,10,12,1,2,3,57,46,3.2631578,0.05012531328320802,7,3.3408521303258154,0.10140254482359745
1173SCN_0_processed,198,103,181,18,20,2,2,8,102,85,3.514563,0.03026841804683038,8,3.7619879635022313,0.06851831936069516
1174SCN_0_processed,132,79,123,5,5,1,0,3,76,70,3.113924,0.0379746835443038,8,3.7112280701754394,0.05503132591740186
1175SCN_0_processed,318,140,298,41,43,1,2,10,140,127,4.257143,0.026104830421377186,8,3.2681397738951694,0.08264436077461289
1176SCN_0_processed,198,100,183,17,23,0,6,6,99,90,3.66,0.03232323232323232,9,3.5431869717584026,0.05852906031166899
1177SCN_0_processed,267,161,248,10,15,2,5,10,160,134,3.0807455,0.017934782608695653,10,4.076650943396227,0.07466408592553299
1178SCN_0_processed,176,104,165,11,14,2,3,5,97,89,3.1730769,0.027819268110530246,8,3.7409793814432986,0.10297897243967477
1179SCN_0_processed,169,94,159,15,21,0,6,9,94,83,3.3829787,0.031571722717913524,6,3.2145962022420504,0.11180715150616553
1180SCN_0_processed,386,175,352,37,50,0,13,25,173,150,4.022857,0.019835796387520525,9,3.319196128511898,0.161173766149751
1181SCN_0_processed,77,36,69,14,21,0,7,6,33,31,3.8333333,0.0761904761904762,6,2.6079545454545454,0.19283625730994153
1182SCN_0_processed,442,226,408,46,55,1,9,15,224,199,3.6106195,0.01384464110127827,10,3.6508648302370283,0.0665634024746261
1183SCN_0_processed,260,148,238,13,16,1,3,7,144,128,3.2162163,0.02031623460194889,7,3.3484848484848495,0.09801999801999801
1185SCN_0_processed,92,65,83,4,4,0,0,0,63,43,2.5538461,0.03798076923076923,13,4.138248847926267,0.0
1186SCN_0_processed,215,148,195,7,9,1,2,1,141,114,2.6351352,0.017006802721088437,16,5.318743667679838,0.007957132957132957
1187SCN_0_processed,351,197,324,12,19,4,7,13,197,165,3.28934,0.01559100797679478,11,4.096498497876307,0.05409786185771277
1188SCN_0_processed,303,171,273,9,13,1,4,10,163,135,3.1929824,0.01781905744754042,9,3.680905854729987,0.0798794123355527
1189SCN_0_processed,95,61,89,9,10,1,1,1,61,45,2.918033,0.04262295081967213,12,4.431147540983606,0.037378468526009505
1190SCN_0_processed,329,181,306,17,22,2,5,12,180,153,3.3812156,0.01731123388581952,13,4.119925512104284,0.07690837158705725
1191SCN_0_processed,159,85,148,13,17,2,4,5,85,72,3.482353,0.03613445378151261,11,3.9745098039215665,0.0741648067426614
1192SCN_0_processed,48,34,42,2,3,0,1,1,33,21,2.4705882,0.06951871657754011,10,4.276515151515151,0.07950089126559715
1193SCN_0_processed,329,194,304,12,16,0,4,3,191,156,3.1340206,0.01538379360076919,12,4.2561036098098635,0.024942775801992185
1195SCN_0_processed,73,46,68,4,6,0,2,1,46,28,2.9565217,0.05990338164251208,8,3.6927536231884064,0.009698996655518394
1196SCN_0_processed,250,153,230,9,14,3,6,3,150,123,3.006536,0.018317853457172344,11,4.242595078299777,0.04003688583068722
1197SCN_0_processed,262,136,239,33,39,2,6,13,130,96,3.514706,0.021568627450980392,13,4.1611210494931425,0.09599118312353604
1198SCN_0_processed,150,85,138,10,14,2,4,4,85,75,3.2470589,0.03417366946778711,9,3.703361344537815,0.027346798368470194
1199SCN_0_processed,112,53,102,11,18,1,7,7,53,49,3.8490567,0.0602322206095791,7,3.1843251088534115,0.15516401529165127
